iso,country,EPI.new,HLT.new,AIR.new,WMG.new,region,GDP,Secondary_enrollment,Employment_rate,Unemployment,Urban Population
BIH,Bosnia & Herzegovina,42.88,38.83,24.61,78.37,Eastern Europe,9397.90942855997,87.8663787841797,43.977,10.69,52.1224302754935
BWA,Botswana,51.77,39.03,33.77,76.32,Sub-Saharan Africa,7649.81663744354,,52.243,23.81,67.4623537838418
BRA,Brazil,48.27,51.31,43.04,79.9,Latin America & Caribbean,10310.5486973693,,59.031,6.801,87.8958549533146
BRN,Brunei Darussalam,37.71,73.79,62.46,100.0,Asia-Pacific,33153.4738913513,91.8381544399811,61.167,5.18,74.8983133873697
BGR,Bulgaria,59.77,46.64,34.97,94.04,Eastern Europe,17596.9167621233,95.6239624023438,53.911,4.2,73.9499356882481
BFA,Burkina Faso,35.24,30.59,28.45,17.0,Sub-Saharan Africa,982.493100418428,30.8551216331757,67.651,3.441,28.3352514896662
BDI,Burundi,24.39,27.29,27.81,12.53,Sub-Saharan Africa,216.231928531758,,77.774,0.915,24.8302838651025
CPV,Cabo Verde,32.75,33.4,31.01,5.1,Sub-Saharan Africa,5170.20531932535,,50.256,11.883,76.7721471004354
KHM,Cambodia,31.21,32.38,26.43,54.0,Asia-Pacific,2627.87969756224,56.7864734981041,82.165,0.254,40.8727033252729
CMR,Cameroon,34.9,18.2,13.61,32.85,Sub-Saharan Africa,1830.00833684727,44.840795775403,63.168,3.603,55.4031748609078
CAN,Canada,57.78,89.06,87.16,100.0,Global West,55015.7066917734,104.320877075195,60.627,6.351,82.7002565766633
CAF,Central African Rep.,31.53,17.6,19.06,5.52,Sub-Saharan Africa,516.160999996036,,68.83,6.253,44.1243555638904
TCD,Chad,27.65,14.57,15.09,19.83,Sub-Saharan Africa,980.668312111718,24.1941648001316,58.968,1.053,26.9315292389497
CHL,Chile,50.95,61.59,47.9,92.68,Latin America & Caribbean,16658.9652720351,105.83097076416,56.864,8.718,88.9950908479196
CHN,China,33.88,40.36,25.59,93.26,Asia-Pacific,13293.1162269366,,61.931,4.59,65.8946980998325
COL,Colombia,48.83,54.41,47.82,84.85,Latin America & Caribbean,7951.08624019412,,57.418,9.619,78.5210811866115
COM,Comoros,33.52,49.84,51.22,34.97,Sub-Saharan Africa,1857.87060684189,,53.275,3.815,33.5392215673301
CRI,Costa Rica,49.28,54.83,46.79,88.85,Latin America & Caribbean,18853.2828705886,125.510070800781,53.686,6.936,79.3107672397967
CIV,Côte d'Ivoire,30.85,23.55,19.06,29.39,Sub-Saharan Africa,2727.8935220697,63.9607557764462,65.583,2.273,53.9733113940142
HRV,Croatia,52.82,57.74,47.85,89.07,Eastern Europe,24049.9441746337,105.025161743164,49.739,5.0,57.5158981711443
CYP,Cyprus,53.34,71.27,66.06,76.26,Eastern Europe,38674.3125,105.159156799316,63.897,4.9,66.6824259192483
CZE,Czechia,62.9,68.65,64.54,100.0,Eastern Europe,31827.7552539413,97.6154174804688,59.048,2.6,72.7947984592185
COD,Dem. Rep. Congo,30.01,24.2,21.26,24.6,Sub-Saharan Africa,692.887665085098,55.4860992431641,61.564,4.421,44.7455804408753
DNK,Denmark,66.57,89.84,87.79,100.0,Global West,71026.4832271897,126.98078918457,61.56,5.358,88.6960552688405
DJI,Djibouti,26.92,28.85,19.59,62.0,Sub-Saharan Africa,3552.72335079222,,23.509,26.007,72.9052635052978
DMA,Dominica,46.06,52.14,44.87,100.0,Latin America & Caribbean,10405.2787777582,102.585807800293,,,73.5449839980866
DOM,Dominican Republic,38.39,32.86,30.63,34.34,Latin America & Caribbean,10875.6618443092,75.4805556926418,61.214,5.312,72.4121874752151
ECU,Ecuador,45.46,41.11,37.54,7.8,Latin America & Caribbean,6826.5294137822,92.8118025876465,62.311,3.453,63.2376932397602
EGY,Egypt,38.48,28.51,27.83,26.5,Greater Middle East,3338.47371043679,84.474862198776,41.556,6.817,42.8004363938404
SLV,El Salvador,29.54,33.65,25.33,72.03,Latin America & Caribbean,5503.10317151907,65.5709865566541,59.899,3.261,75.0674905102199
GNQ,Equatorial Guinea,40.52,29.78,24.87,54.74,Sub-Saharan Africa,7003.58055684906,,55.856,8.293,71.3574028749806
EST,Estonia,74.79,75.88,80.76,100.0,Eastern Europe,31428.3547816104,108.442070007324,60.475,7.6,70.6981161541961
SWZ,Eswatini,34.41,29.37,20.82,55.35,Sub-Saharan Africa,3909.55892378182,,33.464,34.643,26.2498461258639
ETH,Ethiopia,33.88,33.46,32.89,40.0,Sub-Saharan Africa,1133.88279681256,,66.168,3.357,23.6222839355469
FJI,Fiji,35.54,37.76,31.83,90.23,Asia-Pacific,6425.74151715712,98.540177642079,54.152,5.361,59.0766602292457
FIN,Finland,71.04,96.66,96.92,100.0,Global West,53155.5451165897,142.861724853516,54.826,8.4,74.2637190463636
FRA,France,69.82,88.72,84.87,98.21,Global West,46103.0840855884,103.962417602539,51.544,7.4,78.7999750964116
GAB,Gabon,48.84,33.73,27.82,56.0,Sub-Saharan Africa,8230.04311451151,,41.005,20.091,91.8632094677575
GMB,Gambia,30.19,23.87,19.73,0.0,Sub-Saharan Africa,871.340287547821,,44.428,6.48,64.2994103409645
GEO,Georgia,42.67,39.02,28.83,87.88,Former Soviet States,8967.67525638987,103.183588288651,56.908,11.557,61.0789605093733
